,[Fe/H]_Median,[Fe/H]_MAD,StellarAge_BinCenters_Gyr,[Fe/H]_Median_H,[Fe/H]_MAD_H,[Fe/H]_Median_B,[Fe/H]_MAD_B,[Fe/H]_Median_CD,[Fe/H]_MAD_CD,[Fe/H]_Median_WD,[Fe/H]_MAD_WD
0,0.214469,0.187002,0.5,-0.168769,0.047553,0.838915,0.054004,0.198562,0.165564,0.293846,0.41903
1,0.185081,0.190419,1.5,-0.222528,0.047135,0.623513,0.108701,0.155536,0.157785,0.308934,0.284394
2,0.118688,0.18358,2.5,-0.18174,0.090587,0.623737,0.092725,0.091032,0.151091,0.180687,0.262311
3,0.068563,0.181454,3.5,-0.174534,0.147002,0.542042,0.105607,0.044173,0.142899,0.074739,0.205439
4,0.030128,0.17569,4.5,-0.170827,0.211779,0.48539,0.152466,0.026265,0.136265,0.038918,0.168507
5,-0.066924,0.201259,5.5,-0.234695,0.195668,0.480252,0.147943,-0.070844,0.169771,-0.042336,0.196466
6,-0.109751,0.203728,6.5,-0.257467,0.198431,0.480668,0.185663,-0.108517,0.162798,-0.097952,0.188847
7,-0.13678,0.231328,7.5,-0.400803,0.162606,0.025913,0.220697,-0.114078,0.183597,-0.103178,0.209147
8,-0.240475,0.243384,8.5,-0.432699,0.202536,-0.072042,0.208593,-0.122465,0.203139,-0.154105,0.221701
9,-0.40945,0.242995,9.5,-0.551753,0.219414,-0.239127,0.219834,-0.287896,0.223346,-0.323003,0.23114
10,-0.564853,0.261981,10.5,-0.739899,0.237214,-0.386341,0.227423,-0.500383,0.250565,-0.517954,0.25577
11,-0.791729,0.299693,11.5,-0.981119,0.290038,-0.570774,0.222187,-0.776169,0.296458,-0.760574,0.292755
12,-1.201113,0.37683,12.5,-1.395286,0.349344,-0.875695,0.29292,-1.178101,0.353186,-1.171054,0.355641
13,-2.004266,0.459779,13.5,-2.089222,0.482297,-1.837281,0.385876,-2.093028,0.461313,-1.97079,0.464265
