CylindricalRadius_ckpc,SurfaceDensity_Type0_Msun/ckpc^2,SurfaceDensity_Type4_Msun/ckpc^2,SurfaceDensity_Type4_H_Msun/ckpc^2,SurfaceDensity_Type4_B_Msun/ckpc^2,SurfaceDensity_Type4_CD_Msun/ckpc^2,SurfaceDensity_Type4_WD_Msun/ckpc^2
0.25,109.1263,4542.3348,16.4545,2610.3411,671.6135,1243.9257
0.75,125.682,2508.8571,14.609,1312.2756,440.0897,741.8829
1.25,70.3572,1104.1261,14.7177,495.5999,249.6806,344.1281
1.75,47.3678,611.7201,14.6699,220.3947,182.293,194.3625
2.25,49.8762,423.8716,15.3098,120.6954,153.8894,133.9771
2.75,49.1195,307.3776,15.0744,73.8232,130.9855,87.4946
3.25,45.8704,245.2582,15.0467,50.9487,120.2114,59.0514
3.75,43.1239,194.9957,15.2915,35.5974,99.3465,44.7603
4.25,42.3437,159.0007,15.6814,25.4103,82.1655,35.7436
4.75,42.8958,135.1419,16.6083,17.1308,71.305,30.0978
5.25,42.4749,118.0897,17.6383,9.874,65.6705,24.9069
5.75,43.2989,107.4198,20.8467,2.7445,62.0558,21.7729
6.25,46.4057,98.0623,19.8947,0.002,58.9218,19.2437
6.75,47.0853,92.1068,16.9097,0.0,57.3009,17.8961
7.25,47.27,85.3995,14.8704,0.0,53.9663,16.5627
7.75,45.1783,76.9371,13.2024,0.0,49.0151,14.7196
8.25,42.8337,68.7499,11.8481,0.0,43.9499,12.952
8.75,41.8086,60.9542,10.595,0.0,39.067,11.2921
9.25,39.1202,54.6698,9.6767,0.0,34.8586,10.1344
9.75,37.0062,46.9796,8.7048,0.0,29.2219,9.0529
10.25,37.5132,40.4458,8.138,0.0,24.39,7.9178
10.75,35.919,34.2887,7.3928,0.0,19.8809,7.015
11.25,34.8895,29.1177,6.8233,0.0,16.3822,5.9121
11.75,34.0681,24.6625,6.1928,0.0,13.3665,5.1033
12.25,31.183,21.2118,5.7697,0.0,10.9494,4.4927
12.75,29.2087,18.2325,5.2841,0.0,8.7835,4.165
13.25,26.1757,15.9455,4.9911,0.0,7.2237,3.7307
13.75,23.2601,13.7856,4.4776,0.0,6.019,3.2891
14.25,21.3558,12.0421,4.1109,0.0,4.9566,2.9746
14.75,19.3811,10.4875,3.8168,0.0,4.0459,2.6248
15.25,17.303,9.0816,3.5243,0.0,3.2216,2.3357
15.75,15.3255,7.9083,3.2442,0.0,2.5279,2.1363
16.25,13.9168,7.041,3.0486,0.0,2.1446,1.8478
16.75,12.925,6.0192,2.6706,0.0,1.6926,1.656
17.25,11.9017,5.528,2.6258,0.0,1.3902,1.5119
17.75,10.7974,4.9698,2.3914,0.0,1.1775,1.4009
18.25,9.7359,4.3751,2.1692,0.0,0.8732,1.3327
18.75,9.0165,3.9839,2.0722,0.0,0.7418,1.1698
19.25,8.6139,3.6747,1.9366,0.0,0.6226,1.1155
19.75,8.2229,3.223,1.708,0.0,0.4934,1.0217
20.25,7.887,2.9586,1.6643,0.0,0.3985,0.8958
20.75,7.3929,2.7022,1.59,0.0,0.3261,0.7861
21.25,6.7986,2.4301,1.4802,0.0,0.2358,0.7141
21.75,6.1841,2.2478,1.3791,0.0,0.232,0.6366
22.25,5.9348,2.0824,1.2929,0.0,0.1834,0.6062
22.75,5.754,1.8483,1.2179,0.0,0.1572,0.4732
23.25,5.6543,1.7815,1.1643,0.0,0.1324,0.4849
23.75,5.3711,1.6487,1.0923,0.0,0.108,0.4485
24.25,4.9622,1.6012,1.0966,0.0,0.0974,0.4073
24.75,4.8603,1.4359,0.976,0.0,0.0905,0.3695
25.25,4.4572,1.3458,0.9454,0.0,0.0676,0.3328
25.75,4.274,1.276,0.9084,0.0,0.0571,0.3105
26.25,4.0787,1.1937,0.8561,0.0,0.0491,0.2886
26.75,3.8859,1.1058,0.8032,0.0,0.0456,0.257
27.25,3.7299,1.069,0.7889,0.0,0.0378,0.2422
27.75,3.6021,1.0316,0.7769,0.0,0.0361,0.2187
28.25,3.623,0.9828,0.7586,0.0,0.0314,0.1928
28.75,3.4905,0.8888,0.687,0.0,0.0177,0.1841
29.25,3.2905,0.8202,0.6243,0.0,0.0188,0.1772
29.75,3.2566,0.829,0.6359,0.0,0.0228,0.1703
30.25,3.0936,0.7613,0.604,0.0,0.0137,0.1436
30.75,2.9386,0.7369,0.5738,0.0,0.018,0.1451
31.25,2.7841,0.6637,0.5075,0.0,0.0167,0.1395
31.75,2.6784,0.6198,0.4777,0.0,0.0127,0.1294
32.25,2.59,0.583,0.4517,0.0,0.0142,0.1171
32.75,2.5238,0.601,0.4544,0.0,0.0166,0.13
33.25,2.4621,0.5515,0.4192,0.0,0.0208,0.1115
33.75,2.3465,0.5427,0.4295,0.0,0.0128,0.1004
34.25,2.2543,0.491,0.3801,0.0,0.0112,0.0997
34.75,2.2198,0.5111,0.4042,0.0,0.0134,0.0934
35.25,2.1025,0.4988,0.401,0.0,0.0116,0.0862
35.75,2.132,0.4363,0.3506,0.0,0.0137,0.0721
