,[Fe/H]_Median,[Fe/H]_MAD,StellarAge_BinCenters_Gyr,[Fe/H]_Median_H,[Fe/H]_MAD_H,[Fe/H]_Median_B,[Fe/H]_MAD_B,[Fe/H]_Median_CD,[Fe/H]_MAD_CD,[Fe/H]_Median_WD,[Fe/H]_MAD_WD
0,0.429941,0.224951,0.5,-0.0608,0.075269,0.612822,0.109772,0.20533,0.142834,0.382682,0.212504
1,0.317068,0.213229,1.5,-0.075919,0.090721,0.547304,0.139139,0.153479,0.117807,0.310882,0.188832
2,0.259169,0.212571,2.5,-0.111397,0.116563,0.519295,0.150635,0.122035,0.129451,0.266629,0.194647
3,0.186228,0.18147,3.5,-0.212877,0.116074,0.396781,0.134634,0.10618,0.134489,0.20053,0.174089
4,0.094524,0.189925,4.5,-0.216162,0.1653,0.360133,0.174131,0.050664,0.138076,0.082191,0.193251
5,-0.028639,0.213895,5.5,-0.279924,0.175248,0.423649,0.187981,-0.008347,0.166342,-0.056381,0.202385
6,-0.132096,0.220475,6.5,-0.40189,0.146965,0.270127,0.22845,-0.132916,0.1546,-0.155398,0.197536
7,-0.195747,0.232447,7.5,-0.368493,0.171959,0.126617,0.167038,-0.11744,0.191883,-0.138002,0.213718
8,-0.25056,0.258896,8.5,-0.462814,0.192501,0.112876,0.199019,-0.148355,0.206947,-0.17128,0.229506
9,-0.368082,0.243999,9.5,-0.554757,0.196568,-0.039426,0.202353,-0.255586,0.201618,-0.291139,0.2189
10,-0.562981,0.262617,10.5,-0.734592,0.223914,-0.194936,0.227858,-0.478308,0.211609,-0.50964,0.229063
11,-0.772389,0.300362,11.5,-0.971394,0.262047,-0.424017,0.227345,-0.701251,0.250215,-0.724202,0.273453
12,-0.985923,0.385972,12.5,-1.362932,0.337343,-0.653914,0.233831,-0.922667,0.339703,-0.953857,0.363521
13,-1.715805,0.473832,13.5,-2.00511,0.509963,-1.378092,0.339776,-1.75265,0.482984,-1.72179,0.433396
