CylindricalRadius_ckpc,SurfaceDensity_Type0_Msun/ckpc^2,SurfaceDensity_Type4_Msun/ckpc^2,SurfaceDensity_Type4_H_Msun/ckpc^2,SurfaceDensity_Type4_B_Msun/ckpc^2,SurfaceDensity_Type4_CD_Msun/ckpc^2,SurfaceDensity_Type4_WD_Msun/ckpc^2
0.25,208.6683,7933.8454,33.9112,4616.7494,1212.2689,2070.9159
0.75,334.5257,4058.0171,35.597,2173.214,683.922,1165.2841
1.25,157.3178,1823.2724,36.6606,854.7869,344.9467,586.8782
1.75,120.6441,962.1381,39.4014,377.8041,212.3778,332.5547
2.25,101.0632,589.5975,40.4694,179.3042,159.8345,209.9894
2.75,74.9354,392.3395,45.6671,73.5277,143.6185,129.5261
3.25,69.1235,299.7964,56.2476,14.5642,140.1571,88.8275
3.75,65.8293,249.5664,50.467,0.0,129.5646,69.5348
4.25,58.6656,185.1937,37.6222,0.0,97.6344,49.9371
4.75,42.195,128.3515,29.9623,0.0,63.7133,34.6759
5.25,30.029,93.3993,24.4889,0.0,40.8862,28.0243
5.75,23.1059,73.1893,20.4579,0.0,29.9267,22.8046
6.25,19.4573,60.8807,17.3698,0.0,24.8499,18.661
6.75,16.5135,52.8809,15.2158,0.0,21.8246,15.8406
7.25,13.4113,46.6122,13.4638,0.0,19.3869,13.7616
7.75,12.1575,40.2363,12.148,0.0,16.2107,11.8776
8.25,11.4352,34.5039,10.5689,0.0,13.0372,10.8978
8.75,11.3364,29.2814,9.6314,0.0,10.0632,9.5869
9.25,11.9547,25.1437,8.5731,0.0,7.8065,8.7641
9.75,11.2377,21.4769,7.747,0.0,6.0302,7.6997
10.25,10.2502,18.6447,6.9892,0.0,4.7429,6.9125
10.75,9.6681,16.3389,6.4051,0.0,3.7667,6.1671
11.25,9.6801,14.4176,5.844,0.0,2.9954,5.5783
11.75,9.3129,12.9022,5.2666,0.0,2.424,5.2116
12.25,9.1766,11.5228,4.8691,0.0,1.9133,4.7404
12.75,8.607,10.2267,4.4559,0.0,1.3486,4.4222
13.25,8.1293,9.043,4.141,0.0,0.92,3.982
13.75,7.4785,7.9082,3.8307,0.0,0.6031,3.4743
14.25,7.1719,6.8645,3.6084,0.0,0.4052,2.8509
14.75,6.7413,6.2059,3.451,0.0,0.2803,2.4746
15.25,6.4348,5.6233,3.2779,0.0,0.2112,2.1342
15.75,6.1895,5.0923,3.0663,0.0,0.1609,1.8652
16.25,5.7322,4.5979,2.8304,0.0,0.1226,1.6449
16.75,5.4391,4.1962,2.6969,0.0,0.0811,1.4182
