,[Fe/H]_Median,[Fe/H]_MAD,StellarAge_BinCenters_Gyr,[Fe/H]_Median_H,[Fe/H]_MAD_H,[Fe/H]_Median_B,[Fe/H]_MAD_B,[Fe/H]_Median_CD,[Fe/H]_MAD_CD,[Fe/H]_Median_WD,[Fe/H]_MAD_WD
0,0.112423,0.197234,0.5,-0.330327,0.123402,0.560143,0.076008,0.150537,0.162461,-0.064799,0.271836
1,0.046286,0.167067,1.5,-0.325632,0.134787,0.714648,0.082038,0.06621,0.141793,0.074075,0.202439
2,0.099497,0.189782,2.5,-0.316337,0.109973,0.821172,0.094166,0.104464,0.166718,0.130611,0.197995
3,0.120665,0.201511,3.5,-0.34162,0.096924,0.728568,0.141087,0.107073,0.183282,0.151506,0.206027
4,0.077693,0.201307,4.5,-0.320658,0.090486,0.659198,0.135449,0.055639,0.18526,0.108033,0.20583
5,0.026537,0.217123,5.5,-0.470027,0.137904,0.557739,0.150775,0.010856,0.192217,0.044887,0.223739
6,-0.061156,0.203129,6.5,-0.526534,0.131495,0.377754,0.204438,-0.060665,0.186307,-0.055323,0.211508
7,-0.095865,0.230762,7.5,-0.590916,0.131817,0.408843,0.16735,-0.113862,0.208767,-0.086982,0.237494
8,-0.126177,0.206275,8.5,-0.691754,0.168461,0.268206,0.163639,-0.147123,0.179997,-0.119836,0.207668
9,-0.280862,0.220848,9.5,-0.77729,0.16179,0.042548,0.20587,-0.303994,0.187829,-0.28645,0.217501
10,-0.48744,0.259627,10.5,-0.865789,0.202432,-0.27673,0.214386,-0.549711,0.218652,-0.51902,0.253146
11,-0.711469,0.295111,11.5,-1.134901,0.247283,-0.549458,0.235648,-0.728596,0.275127,-0.735763,0.286007
12,-1.021403,0.319609,12.5,-1.453102,0.298019,-0.867928,0.251082,-0.984377,0.301848,-1.034971,0.317306
13,-1.580999,0.470213,13.5,-2.189439,0.505414,-1.425988,0.422047,-1.544682,0.449226,-1.639209,0.467581
