Snapshot,Time_Gyr,Redshift,ExpansionFactor,Mass_Msun,Mass_H_Msun,Mass_B_Msun,Mass_CD_Msun,Mass_WD_Msun
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
30.0,0.4217845366394565,10.919033198155363,0.08389942232519026,14710458.0,4053973.75,7915969.0,602581.0625,2137933.5
31.0,0.4528384166734556,10.367443572408746,0.08797052684978504,18102122.0,3563618.25,10752366.0,627884.8125,3158253.25
32.0,0.48617612343955924,9.841380439471834,0.09223917614394847,22919712.0,6059434.0,12258554.0,987144.0,3614580.0
33.0,0.5182708119307342,9.388771271940549,0.09625777426642748,26968700.0,5900479.0,15833298.0,2068987.25,3165932.75
34.0,0.5564188833159369,8.907999185598532,0.1009285508878038,32878796.0,10536178.0,16254497.0,1589610.0,4498509.5
35.0,0.5973702376945801,8.449476294368743,0.10582597054568338,41767424.0,12322382.0,22543648.0,1867106.75,5034290.0
36.0,0.6413297674084788,8.012172948865935,0.11096103078290759,51011816.0,13484494.0,28532244.0,2817398.0,6177681.5
37.0,0.6885170787669509,7.5951071498715965,0.11634526278301709,59246752.0,12310174.0,35756564.0,2824131.5,8355883.0
38.0,0.7339395587876801,7.23627606616736,0.1214140944240273,65530936.0,18786934.0,34994920.0,2939575.0,8809508.0
39.0,0.787921774026992,6.855117262650799,0.12730554701643482,73160768.0,16458871.0,44183672.0,3209418.25,9308807.0
40.0,0.8458612530579325,6.491597745667503,0.1334828742744916,85639592.0,19206124.0,53117816.0,3700644.25,9615014.0
41.0,0.9080449696290195,6.144901203416368,0.13995994787469493,98287768.0,21677742.0,63258112.0,3721812.0,9630106.0
42.0,0.9678924784861273,5.846613747881867,0.14605760406878063,108758144.0,21652294.0,60579032.0,7477195.0,19049626.0
43.0,1.0390037466243902,5.5297658079491026,0.15314484920464314,44908784.0,5049993.0,20559804.0,7575232.5,11723752.0
44.0,1.115309430693374,5.227580973127337,0.1605759932010687,94086976.0,11798398.0,51252032.0,11585291.0,19451248.0
45.0,1.197181863756146,4.939380663491011,0.1683677232791182,186735472.0,11573852.0,61386748.0,33356612.0,80418256.0
46.0,1.2850184010331818,4.664517702470927,0.1765375363843931,188274336.0,49030992.0,99319728.0,11509723.0,28413898.0
47.0,1.3695201902147043,4.428033736605549,0.18422877390319162,218840320.0,23806256.0,135645760.0,17659536.0,41728768.0
48.0,1.469878490582777,4.176834914726472,0.19316822276007173,312056128.0,38254548.0,163608512.0,34203632.0,75989424.0
49.0,1.577506484958674,3.9372610847275835,0.20254144612552438,554554688.0,96483440.0,188287920.0,86989488.0,182793856.0
50.0,1.6929110344480442,3.7087742646422353,0.21236949231329916,1159318400.0,208507008.0,288293728.0,213883888.0,448633696.0
