CylindricalRadius_ckpc,SurfaceDensity_Type0_Msun/ckpc^2,SurfaceDensity_Type4_Msun/ckpc^2,SurfaceDensity_Type4_H_Msun/ckpc^2,SurfaceDensity_Type4_B_Msun/ckpc^2,SurfaceDensity_Type4_CD_Msun/ckpc^2,SurfaceDensity_Type4_WD_Msun/ckpc^2
0.25,18.6525,844.4762,0.2148,506.6242,110.7771,226.8601
0.75,30.6912,564.2772,0.2527,285.672,106.7966,171.5559
1.25,22.1683,318.1214,0.1706,141.1021,71.936,104.9127
1.75,15.2836,213.6902,0.2374,75.0683,66.1448,72.2397
2.25,13.726,172.6316,0.2398,48.0451,65.3239,59.0228
2.75,14.719,136.0118,0.1436,33.3113,54.7355,47.8215
3.25,17.3341,109.7975,0.1869,23.4286,46.9474,39.2345
3.75,17.457,95.5524,0.2316,17.1962,45.4376,32.6871
4.25,18.0005,84.8016,0.2373,13.2503,43.7035,27.6104
4.75,17.5719,73.0354,0.2173,10.3378,39.0609,23.4194
5.25,16.0474,61.3499,0.1852,8.1571,33.4316,19.576
5.75,14.6418,52.2476,0.2037,6.7783,28.1968,17.0689
6.25,14.7152,46.3508,0.1949,5.4439,25.1398,15.5722
6.75,14.5515,41.9645,0.2593,4.3939,22.4618,14.8495
7.25,14.5656,37.8211,0.2519,3.5642,20.774,13.2309
7.75,14.6476,33.917,0.2652,2.8819,19.2324,11.5374
8.25,13.7686,31.6435,0.3076,2.3931,18.7419,10.2008
8.75,12.5774,29.0145,0.2908,2.0741,17.4526,9.197
9.25,11.9303,26.3598,0.3171,1.6331,16.0426,8.367
9.75,11.3785,24.3344,0.3159,1.258,15.3437,7.4169
10.25,10.8065,23.1484,0.3272,1.1105,14.5493,7.1613
10.75,10.3628,22.0634,0.302,0.8934,14.3618,6.5063
11.25,10.2715,20.3149,0.416,0.6889,13.3669,5.8431
11.75,10.3128,18.7232,0.4235,0.4779,12.5774,5.2444
12.25,10.7189,17.1711,0.528,0.3027,11.5558,4.7847
12.75,10.5505,15.5482,0.5769,0.1701,10.2244,4.5768
13.25,10.1787,14.2707,0.5716,0.0647,9.2751,4.3593
13.75,10.0062,12.8859,0.5979,0.0154,8.2017,4.0708
14.25,9.8295,11.7197,0.53,0.0,7.3895,3.8002
14.75,9.8356,11.1437,0.4953,0.0,6.9224,3.726
15.25,9.7423,10.3524,0.4199,0.0,6.3748,3.5577
15.75,9.7194,9.8448,0.3919,0.0,5.8677,3.5852
16.25,10.3284,9.2492,0.3723,0.0,5.4197,3.4573
16.75,10.4485,8.5731,0.3509,0.0,4.9658,3.2564
17.25,10.4892,8.0026,0.3512,0.0,4.6404,3.0109
17.75,10.203,7.0912,0.2956,0.0,4.1776,2.618
18.25,10.2239,6.4547,0.3065,0.0,3.8472,2.301
18.75,10.4018,5.8657,0.2767,0.0,3.6938,1.8952
19.25,10.588,5.3443,0.2377,0.0,3.4788,1.6278
19.75,10.5018,4.9241,0.2457,0.0,3.3602,1.3182
20.25,10.863,4.5088,0.2192,0.0,3.1095,1.1801
20.75,10.7803,4.156,0.2006,0.0,2.8982,1.0571
21.25,10.3904,3.8758,0.1895,0.0,2.7656,0.9207
21.75,9.6105,3.6479,0.1924,0.0,2.6215,0.8341
22.25,8.8077,3.4424,0.2033,0.0,2.4656,0.7735
22.75,8.3747,3.3667,0.1748,0.0,2.4084,0.7835
23.25,8.1883,3.1324,0.1667,0.0,2.2011,0.7646
23.75,8.0974,2.8381,0.1363,0.0,2.0017,0.7
24.25,8.0213,2.7809,0.1406,0.0,1.9054,0.7349
24.75,7.8662,2.4978,0.1338,0.0,1.6943,0.6697
25.25,7.5561,2.3807,0.1297,0.0,1.6011,0.6499
25.75,7.3703,2.23,0.1303,0.0,1.4922,0.6075
26.25,7.0848,2.0381,0.109,0.0,1.2973,0.6319
26.75,6.6308,1.9125,0.1079,0.0,1.2261,0.5784
